                     Microsoft DHCP Service Activity Log


Event ID  Meaning
00        The log was started.
01        The log was stopped.
02        The log was temporarily paused due to low disk space.
10        A new IP address was leased to a client.
11        A lease was renewed by a client.
12        A lease was released by a client.
13        An IP address was found to be in use on the network.
14        A lease request could not be satisfied because the scope's
          address pool was exhausted.
15        A lease was denied.
16        A lease was deleted.
17        A lease was expired.
20        A BOOTP address was leased to a client.
21        A dynamic BOOTP address was leased to a client.
22        A BOOTP request could not be satisfied because the scope's
          address pool for BOOTP was exhausted.
23        A BOOTP IP address was deleted after checking to see it was
          not in use.
24        IP address cleanup operation has began.
25        IP address cleanup statistics.
30        DNS update request to the named DNS server
31        DNS update failed
32        DNS update successful
50+       Codes above 50 are used for Rogue Server Detection information.

ID,Date,Time,Description,IP Address,Host Name,MAC Address
24,03/03/09,00:00:21,Database Cleanup Begin,,,,
25,03/03/09,00:00:21,0 leases expired and 0 leases deleted,,,,
25,03/03/09,00:00:21,0 leases expired and 0 leases deleted,,,,
24,03/03/09,00:10:43,Database Cleanup Begin,,,,
25,03/03/09,00:10:43,0 leases expired and 0 leases deleted,,,,
25,03/03/09,00:10:43,0 leases expired and 0 leases deleted,,,,
24,03/03/09,01:10:44,Database Cleanup Begin,,,,
25,03/03/09,01:10:44,0 leases expired and 0 leases deleted,,,,
25,03/03/09,01:10:44,0 leases expired and 0 leases deleted,,,,
24,03/03/09,02:10:46,Database Cleanup Begin,,,,
25,03/03/09,02:10:46,0 leases expired and 0 leases deleted,,,,
25,03/03/09,02:10:46,0 leases expired and 0 leases deleted,,,,
10,03/03/09,02:13:11,Assign,192.168.2.73,useruid4d02bb8a4b05364e6e1bf950bbef884959077881.vitel.com.tr,7365727569643464303262623861346230353336346536653162663935306262656638383439353930373738383100,
12,03/03/09,03:05:46,Release,192.168.2.73,useruid4d02bb8a4b05364e6e1bf950bbef884959077881.vitel.com.tr,7365727569643464303262623861346230353336346536653162663935306262656638383439353930373738383100,
24,03/03/09,03:10:47,Database Cleanup Begin,,,,
25,03/03/09,03:10:47,0 leases expired and 0 leases deleted,,,,
25,03/03/09,03:10:47,0 leases expired and 0 leases deleted,,,,
24,03/03/09,04:10:48,Database Cleanup Begin,,,,
25,03/03/09,04:10:48,0 leases expired and 0 leases deleted,,,,
25,03/03/09,04:10:48,0 leases expired and 0 leases deleted,,,,
24,03/03/09,05:10:49,Database Cleanup Begin,,,,
25,03/03/09,05:10:49,0 leases expired and 0 leases deleted,,,,
25,03/03/09,05:10:49,0 leases expired and 0 leases deleted,,,,
24,03/03/09,06:10:50,Database Cleanup Begin,,,,
25,03/03/09,06:10:50,0 leases expired and 0 leases deleted,,,,
25,03/03/09,06:10:50,0 leases expired and 0 leases deleted,,,,
24,03/03/09,07:10:51,Database Cleanup Begin,,,,
25,03/03/09,07:10:51,0 leases expired and 0 leases deleted,,,,
25,03/03/09,07:10:51,0 leases expired and 0 leases deleted,,,,
24,03/03/09,08:10:52,Database Cleanup Begin,,,,
25,03/03/09,08:10:52,0 leases expired and 0 leases deleted,,,,
25,03/03/09,08:10:52,0 leases expired and 0 leases deleted,,,,
30,03/03/09,08:53:17,DNS Update Request,70.2.168.192,seraptatli.vitel.com.tr,,
11,03/03/09,08:53:17,Renew,192.168.2.70,seraptatli.vitel.com.tr,0016D49CDDCC,
32,03/03/09,08:53:17,DNS Update Successful,192.168.2.70,seraptatli.vitel.com.tr,,
24,03/03/09,09:10:53,Database Cleanup Begin,,,,
25,03/03/09,09:10:53,0 leases expired and 0 leases deleted,,,,
25,03/03/09,09:10:53,0 leases expired and 0 leases deleted,,,,
